SZU,Charge_Point,Charge_Point_2
Bingegang (Ext),"23° 23'0""S","148° 55'0""E"
Binnaway,"31° 32'0""S","149° 21'0""E"
Birchip,"36° 0'0""S","143° 0'0""E"
Birregurra,"38° 22'10""S","143° 48'30""E"
Birriwa,"32° 11'30""S","149° 29'0""E"
Black Stump,"33° 46'30""S","145° 27'30""E"
Blackall,"24° 25'0""S","145° 27'30""E"
Blackbutt,"26° 51'30""S","152° 9'0""E"
Blacktown,"33° 44'30""S","150° 53'30""E"
Blackwater,"23° 35'30""S","148° 57'0""E"
Blanchetown,"34° 21'30""S","139° 40'30""E"
Blayney,"33° 31'0""S","149° 18'0""E"
Blessington,"41° 34'0""S","147° 28'0""E"
Blighty,"35° 32'30""S","145° 15'0""E"
Bloomfield,"14° 16'0""S","142° 59'0""E"
Blyth,"33° 52'40""S","138° 29'30""E"
Bobadah,"32° 22'30""S","146° 43'0""E"
Bobundara,"36° 31'50""S","149° 4'30""E"
Bodallin,"31° 20'0""S","118° 53'0""E"
Bodallin North,"31° 10'30""S","118° 55'0""E"
Boddington,"32° 44'22""S","116° 33'40""E"
Bogan Gate,"33° 4'30""S","147° 54'0""E"
Boggabri,"30° 46'0""S","150° 5'30""E"
Bohena,"30° 29'0""S","149° 40'30""E"
Bokerup,"34° 13'0""S","116° 57'30""E"
Bolgart,"31° 16'30""S","116° 31'0""E"
Bollon,"28° 2'0""S","147° 54'0""E"
Bombala,"36° 53'0""S","149° 12'30""E"
Bonalbo,"28° 42'0""S","152° 38'0""E"
Bonang,"37° 9'30""S","148° 45'0""E"
Bonnay,"30° 17'0""S","148° 9'0""E"
Bonnie Doon,"37° 0'55""S","145° 51'30""E"
Bonnie Rock,"30° 36'30""S","118° 19'0""E"
Bonshaw,"29° 6'0""S","151° 17'30""E"
Booborowie,"33° 39'30""S","138° 48'45""E"
Booleroo Centre,"32° 51'30""S","138° 19'30""E"
Boomi,"28° 52'0""S","149° 34'30""E"
Boona Mountain,"32° 38'0""S","147° 16'0""E"
Boonah,"27° 59'0""S","152° 43'0""E"
Boondooma,"26° 14'0""S","151° 19'0""E"
Boorolong,"30° 23'30""S","151° 26'0""E"
Boorooma,"29° 56'0""S","147° 39'30""E"
Booroorban,"34° 50'0""S","144° 49'30""E"
Boorowa,"34° 24'25""S","148° 47'50""E"
Boort,"36° 5'30""S","143° 54'0""E"
Booyal,"25° 16'30""S","152° 4'30""E"
Borah Tank,"29° 45'30""S","148° 5'0""E"
Borden,"33° 57'30""S","118° 20'30""E"
Bordertown,"36° 22'0""S","140° 49'0""E"
Boree Creek,"35° 3'0""S","146° 40'30""E"
Borroloola,"16° 10'0""S","134° 46'0""E"
Boscabel,"33° 43'30""S","117° 11'0""E"
Bothwell,"42° 25'0""S","146° 55'0""E"
Boulia,"23° 49'0""S","139° 47'0""E"
Boundary Bend,"34° 43'0""S","143° 4'30""E"
Bourke,"30° 3'30""S","146° 8'0""E"
Bow Bridge,"34° 55'0""S","117° 8'30""E"
Bow Hill,"34° 51'0""S","139° 38'30""E"
Bowen,"20° 3'30""S","148° 5'30""E"
Bowenville,"27° 15'0""S","151° 27'30""E"
Bower,"34° 10'0""S","139° 21'0""E"
Bowral,"34° 31'30""S","150° 21'0""E"
Bowraville,"30° 36'0""S","152° 46'0""E"
Box Creek (Ext),"34° 6'0""S","143° 39'0""E"
Boyup Brook,"33° 54'0""S","116° 24'0""E"
Bradfords,"32° 48'0""S","116° 58'30""E"
Braemer (Ext),"33° 24'0""S","141° 6'0""E"
Braidwood,"35° 21'0""S","149° 49'0""E"
Branxton,"32° 40'30""S","151° 21'0""E"
Brassi,"35° 29'30""S","144° 39'30""E"
