SZU,Charge_Point,Charge_Point_2
Launceston,"41° 25'30""S","147° 10'30""E"
Laura,"33° 5'0""S","138° 19'30""E"
Lavers Hill,"38° 42'0""S","143° 20'30""E"
Laverton,"28° 36'30""S","122° 24'0""E"
Lawrence,"29° 30'0""S","152° 59'0""E"
Lawson,"33° 44'30""S","150° 28'30""E"
Leadville,"32° 6'0""S","149° 40'0""E"
Learmonth,"37° 21'45""S","143° 42'0""E"
Leeman,"29° 57'50""S","115° 3'0""E"
Leeton,"34° 32'30""S","146° 26'0""E"
Leeville,"29° 0'0""S","152° 55'30""E"
Legume,"28° 26'30""S","152° 19'30""E"
Leicester Park,"35° 33'0""S","146° 1'0""E"
Leichhardt Range (Ext),"20° 48'0""S","147° 39'0""E"
Leigh Creek South,"30° 30'30""S","138° 24'0""E"
Leinster,"27° 52'0""S","121° 57'0""E"
Leongatha,"38° 30'0""S","146° 4'0""E"
Leonora,"28° 54'0""S","121° 26'30""E"
Leopold (Ext),"17° 32'0""S","125° 24'0""E"
Lethebrook,"20° 37'30""S","148° 36'0""E"
Leyburn,"28° 2'0""S","151° 40'30""E"
Licola,"37° 42'45""S","146° 40'30""E"
Lightning Ridge,"29° 29'30""S","148° 2'0""E"
Lilydale,"41° 13'30""S","147° 13'0""E"
Limbri,"31° 3'0""S","151° 15'0""E"
Limekilns,"33° 11'0""S","149° 45'0""E"
Lindenow,"37° 47'0""S","147° 24'0""E"
Linton,"37° 31'0""S","143° 41'0""E"
Lismore (NSW),"28° 48'0""S","153° 19'30""E"
Lismore (VIC),"37° 56'30""S","143° 24'0""E"
Liston,"28° 36'0""S","152° 8'30""E"
Lithgow,"33° 28'30""S","150° 6'0""E"
Little Billabong,"35° 32'30""S","147° 29'30""E"
Little Swanport,"42° 23'30""S","147° 53'0""E"
Liverpool,"33° 54'30""S","150° 52'0""E"
Llanelly,"36° 42'0""S","143° 50'0""E"
Loch Sport,"38° 4'0""S","147° 32'0""E"
Lochaber,"36° 48'0""S","140° 30'0""E"
Lochiel,"33° 53'0""S","138° 10'0""E"
Lock,"33° 39'0""S","135° 47'0""E"
Lockhart,"35° 9'0""S","146° 47'30""E"
Lockhart River,"14° 16'0""S","142° 59'0""E"
Lockington,"36° 13'0""S","144° 30'0""E"
Logan,"36° 40'0""S","143° 28'0""E"
Logie Brae,"35° 28'30""S","145° 30'30""E"
Long Pocket,"18° 30'30""S","146° 4'0""E"
Longford,"41° 42'0""S","147° 0'30""E"
Longreach,"23° 26'0""S","144° 26'0""E"
Longwood,"36° 54'0""S","145° 24'0""E"
Lord Howe Island,"31° 28'0""S","159° 9'0""E"
Lorne,"38° 32'30""S","143° 52'30""E"
Lorquon,"36° 10'30""S","141° 40'0""E"
Lost River,"34° 27'25""S","149° 14'0""E"
Lowbank,"34° 12'30""S","140° 7'0""E"
Lowmead,"24° 26'30""S","151° 50'30""E"
Lowood,"27° 27'0""S","152° 37'0""E"
Loxton,"34° 25'30""S","140° 36'30""E"
Lucindale,"36° 58'30""S","140° 28'30""E"
Lucindale South,"37° 8'0""S","140° 31'30""E"
Lue,"32° 36'30""S","149° 50'55""E"
Lumeah,"34° 2'30""S","117° 12'0""E"
Lynd Range,"25° 34'30""S","149° 25'0""E"
Lyndhurst,"33° 41'0""S","149° 3'0""E"
Lynton,"28° 10'20""S","114° 22'0""E"
Mabins Well,"35° 7'30""S","145° 37'30""E"
Macalister,"27° 2'0""S","151° 5'30""E"
Macarthur,"37° 59'30""S","142° 6'30""E"
Mackay,"21° 7'0""S","149° 8'0""E"
Macksville,"30° 42'30""S","152° 55'30""E"
Maclean,"29° 29'0""S","153° 15'0""E"
Maffra,"37° 55'30""S","146° 58'30""E"
Magitup,"34° 10'30""S","118° 0'0""E"
Magometon,"31° 6'0""S","148° 41'0""E"
Maidenwell,"26° 49'0""S","151° 50'0""E"
Maimuru,"34° 11'0""S","148° 10'0""E"
Maitland (NSW),"32° 43'30""S","151° 32'0""E"
Maitland (SA),"34° 24'0""S","137° 38'30""E"
Makin,"35° 54'30""S","140° 32'0""E"
Malanda,"17° 22'0""S","145° 38'0""E"
Maldon,"36° 59'30""S","144° 2'30""E"
Maleny,"26° 45'30""S","152° 44'30""E"
Malinong,"35° 28'30""S","139° 36'0""E"
Mallacoota,"37° 30'30""S","149° 40'30""E"
Mallala,"34° 24'30""S","138° 28'30""E"
Mallan,"35° 11'0""S","143° 45'30""E"
Mallanganee,"28° 53'30""S","152° 47'30""E"
Mambray Creek,"32° 48'30""S","137° 57'30""E"
Manangatang,"35° 3'0""S","142° 56'30""E"
Mandagery,"33° 17'30""S","148° 27'30""E"
Mandurah,"32° 32'30""S",Engadine
Mangoplah,"35° 23'0""S","147° 19'0""E"
Mangrove Mountain,"33° 20'0""S","151° 13'0""E"
Manildra,"33° 14'30""S","148° 49'0""E"
Manilla,"30° 45'0""S","150° 40'30""E"
Manjimup,"34° 13'0""S","116° 9'0""E"
Mannum,"34° 54'30""S","139° 13'0""E"
Mannus,"35° 44'0""S","147° 50'0""E"
Mansfield,"37° 0'30""S","146° 6'0""E"
Mantung,"34° 33'20""S","140° 3'10""E"
Manumbar,"26° 21'0""S","152° 11'15""E"
Manypeaks,"34° 54'30""S","118° 4'0""E"
Manypeaks North,"34° 42'30""S","118° 1'30""E"
Marama,"35° 10'13""S","140° 7'4""E"
Maranoa (Ext),"26° 53'0""S","147° 53'0""E"
Marble Bar,"20° 42'0""S","119° 32'0""E"
Marchagee,"29° 58'0""S","116° 10'30""E"
Marcollat,"36° 31'30""S","140° 14'0""E"
Mardale,"24° 38'30""S","150° 45'0""E"
Mareeba,"16° 59'30""S","145° 27'30""E"
Margaret River,"33° 55'30""S","115° 9'0""E"
Margate,"43° 5'30""S","147° 16'0""E"
Marion Bay,"35° 6'0""S","137° 6'0""E"
Marla,"27° 45'0""S","133° 30'0""E"
Marlborough,"22° 46'30""S","150° 8'30""E"
Marnoo,"36° 46'30""S","142° 55'10""E"
Marong,"36° 49'0""S","144° 5'0""E"
Maroon,"28° 9'30""S","152° 37'30""E"
Maroona,"37° 27'30""S","143° 0'0""E"
Marple,"30° 43'0""S","151° 44'30""E"
Marrawah,"40° 57'0""S","144° 46'30""E"
Marsden,"33° 45'0""S","147° 26'30""E"
Marulan,"34° 42'0""S","149° 58'0""E"
Marvel Loch,"31° 27'30""S","119° 28'0""E"
Maryborough (QLD),"25° 33'30""S","152° 39'30""E"
Maryborough (VIC),"37° 0'30""S","143° 40'0""E"
Marybrook,"33° 43'0""S","115° 7'0""E"
Maryfarms,"16° 31'30""S","145° 11'0""E"
Marysville,"37° 35'0""S","145° 39'30""E"
Mathinna,"41° 28'0""S","147° 54'10""E"
Mathoura,"35° 53'0""S","144° 50'30""E"
Maude,"34° 30'30""S","144° 27'30""E"
Maydena,"42° 42'0""S","146° 41'0""E"
Mclaren Vale,"35° 9'30""S","138° 35'30""E"
Meadow Flat,"33° 22'0""S","149° 51'30""E"
Meandarra,"27° 17'0""S","149° 47'0""E"
Meckering,"31° 38'30""S","116° 58'0""E"
Meekatharra,"26° 37'30""S","118° 36'0""E"
Meerlieu,"37° 55'30""S","147° 27'30""E"
Melbergen,"33° 52'0""S","145° 58'0""E"
Melbourne,"37° 49'0""S","144° 57'0""E"
Melrose,"32° 53'0""S","138° 9'0""E"
Mendel,"28° 46'30""S","115° 39'0""E"
Mendooran,"31° 48'30""S","149° 13'0""E"
Menindee,"32° 23'30""S","142° 25'30""E"
Meningie,"35° 39'30""S","139° 22'0""E"
Meningie East,"35° 46'0""S","139° 27'0""E"
Meredith,"37° 54'30""S","144° 2'0""E"
Merimbula,"36° 54'30""S","149° 49'0""E"
Merino,"37° 49'0""S","141° 30'0""E"
Merredin,"31° 23'0""S","118° 10'30""E"
Merriganowry,"33° 49'0""S","148° 28'30""E"
Merriwa,"32° 9'0""S","150° 18'30""E"
Merriwagga,"33° 43'0""S","145° 37'0""E"
Mettler,"34° 34'15""S","118° 31'45""E"
Miamba,"26° 50'0""S","149° 57'30""E"
Michelago,"35° 34'30""S","149° 4'0""E"
Miclere (Ext),"21° 55'30""S","147° 12'0""E"
Middlemount,"23° 23'0""S","148° 55'0""E"
Miena,"42° 5'0""S","146° 43'0""E"
Milang,"35° 24'30""S","138° 58'30""E"
Milbrulong,"35° 21'0""S","146° 50'0""E"
Mildura,"34° 14'30""S","142° 10'0""E"
Miles,"26° 35'30""S","150° 10'0""E"
Miling,"30° 35'0""S","116° 21'30""E"
Millaa Millaa,"17° 33'0""S","145° 38'0""E"
Millaroo,"19° 58'30""S","147° 18'30""E"
Millicent,"37° 32'0""S","140° 28'30""E"
Millmerran,"27° 52'0""S","151° 16'30""E"
Millstream (Ext),"21° 48'0""S","116° 52'0""E"
Millthorpe,"33° 29'30""S","149° 3'0""E"
Miltalie,"33° 29'0""S","136° 48'0""E"
Milton-ulladulla,"35° 14'0""S","150° 26'30""E"
Milvale,"34° 19'30""S","147° 54'30""E"
Mingenew,"29° 15'0""S","115° 18'30""E"
Minimay,"36° 43'30""S","141° 10'40""E"
Minlaton,"34° 45'30""S","137° 33'30""E"
Minnamoolka (Ext),"18° 9'0""S","145° 15'0""E"
Minnipa,"32° 56'30""S","135° 7'0""E"
Mintabie,"27° 45'0""S","133° 30'0""E"
Minyip,"36° 28'0""S","142° 36'0""E"
Mirboo North,"38° 22'30""S","146° 7'0""E"
Miriam Vale,"24° 14'30""S","151° 31'30""E"
Mirriadool,"29° 40'30""S","149° 32'30""E"
Mitchell (Ext) (WA),"15° 23'0""S","126° 52'0""E"
Mitchell (QLD),"26° 29'30""S","147° 58'30""E"
Mitiamo,"36° 13'0""S","144° 10'0""E"
Mittyack,"35° 5'30""S","142° 38'30""E"
Mole Creek,"41° 35'30""S","146° 22'0""E"
Molloy,"16° 42'30""S","145° 19'30""E"
Molong,"33° 3'30""S","148° 48'30""E"
Moltema,"41° 24'30""S","146° 36'0""E"
Monkoora,"36° 7'0""S","140° 10'0""E"
Monogorilby,"25° 22'30""S","151° 19'0""E"
Monteagle,"34° 9'30""S","148° 26'30""E"
Monto,"24° 50'30""S","151° 13'30""E"
Moodiarrup,"33° 31'20""S","116° 55'30""E"
Moona Plains,"30° 53'30""S","151° 44'0""E"
Moonambel,"36° 56'30""S","143° 22'0""E"
Moonan Flat,"32° 3'0""S","151° 13'0""E"
Moonford,"24° 48'30""S","150° 55'0""E"
Moonie,"27° 43'2""S","150° 22'5""E"
Moonta,"34° 6'30""S","137° 41'30""E"
Moora,"30° 39'45""S","115° 59'30""E"
Moore,"26° 51'45""S","152° 17'35""E"
Moranbah,"22° 0'0""S","148° 10'0""E"
Morawa,"29° 11'0""S","116° 2'0""E"
Morchard,"32° 35'0""S","138° 27'0""E"
Moree,"29° 27'30""S","149° 50'30""E"
Morgan,"34° 7'0""S","139° 41'0""E"
Mornington,"38° 14'0""S","145° 9'30""E"
Mortlake,"37° 59'30""S","142° 48'30""E"
Morundah,"34° 54'30""S","146° 24'0""E"
Moruya,"35° 53'30""S","150° 5'0""E"
Morven (QLD),"26° 7'0""S","146° 17'0""E"
Morwell,"38° 12'30""S","146° 21'30""E"
Mossman,"16° 30'0""S","145° 21'0""E"
Moulamein,"35° 10'30""S","144° 4'40""E"
Moulyinning,"33° 17'30""S","118° 2'0""E"
Mount Barker (SA),"35° 4'30""S","138° 48'30""E"
Mount Barker (WA),"34° 34'30""S","117° 35'0""E"
Mount Beaumont,"33° 33'0""S","122° 40'30""E"
Mount Beauty,"36° 38'30""S","147° 4'30""E"
Mount Bruce (Ext),"22° 52'0""S","118° 5'0""E"
Mount Buller,"37° 2'30""S","146° 23'0""E"
Mount Coolon,"21° 55'30""S","147° 12'0""E"
Mount Foster,"31° 22'30""S","147° 46'0""E"
Mount Fox,"18° 50'30""S","145° 57'0""E"
Mount Gambier,"37° 50'0""S","140° 52'0""E"
Mount Gardiner,"22° 46'30""S","150° 8'30""E"
Mount Garnet,"17° 43'30""S","145° 7'0""E"
Mount George (Ext) (WA),"25° 34'0""S","119° 21'0""E"
Mount George (NSW),"31° 49'30""S","152° 13'0""E"
Mount Hampton,"31° 32'0""S","118° 58'30""E"
Mount Helena,"31° 48'0""S","116° 17'0""E"
Mount Herring,"32° 42'30""S","146° 58'30""E"
Mount Hope,"34° 12'0""S","135° 26'0""E"
Mount Isa,"20° 39'10""S","139° 30'0""E"
Mount Larcom,"23° 48'41""S","150° 58'48""E"
Mount Madden,"33° 20'20""S","119° 59'0""E"
Mount Magnet,"28° 3'30""S","117° 50'0""E"
Mount Merivale,"33° 53'30""S","122° 9'30""E"
Mount Morgan,"23° 37'30""S","150° 24'30""E"
Mount Olive,"32° 19'0""S","151° 14'30""E"
Mount Perry,"25° 3'30""S","151° 45'0""E"
Mount Pleasant,"34° 48'0""S","138° 59'30""E"
Mount Richmond,"38° 8'0""S","141° 18'30""E"
Mount Stirling,"31° 46'0""S","117° 41'30""E"
Mount Surprise,"18° 21'0""S","143° 42'0""E"
Mount Taylor,"37° 38'30""S","147° 37'0""E"
Mount Tyson,"27° 34'0""S","151° 28'0""E"
Mount Walker South,"32° 1'30""S","118° 44'0""E"
Mount Wallace,"37° 42'0""S","144° 13'0""E"
Mount Wells,"32° 47'1""S","116° 19'19""E"
Mount Wilson,"33° 29'30""S","150° 20'0""E"
Moura,"24° 39'50""S","150° 4'0""E"
Moyhu,"36° 32'30""S","146° 18'30""E"
Moyston,"37° 20'0""S","142° 50'0""E"
Mudamuckla,"32° 14'0""S","133° 55'0""E"
Mudgee,"32° 35'30""S","149° 34'30""E"
Mukinbudin,"30° 54'30""S","118° 8'0""E"
Mulbring,"32° 55'0""S","151° 29'30""E"
Mulgildie,"25° 2'0""S","151° 6'30""E"
Mulgoa,"33° 52'30""S","150° 40'0""E"
Mullaley,"31° 4'30""S","149° 55'30""E"
Mullengudgery,"31° 29'30""S","147° 30'30""E"
Mullewa,"28° 34'30""S","115° 32'20""E"
Mullumbimby,"28° 35'0""S","153° 29'0""E"
Mundubbera,"25° 34'30""S","151° 20'0""E"
Mungery,"32° 36'30""S","147° 56'30""E"
Mungindi,"28° 59'30""S","149° 5'30""E"
Munglinup,"33° 36'30""S","121° 3'0""E"
Munro,"37° 52'30""S","147° 10'30""E"
Muntadgin East,"31° 46'30""S","118° 41'0""E"
Muradup,"33° 53'30""S","116° 53'0""E"
Murgon,"26° 13'30""S","152° 1'30""E"
Murrabit,"35° 33'30""S","143° 51'0""E"
Murray Bridge,"35° 8'0""S","139° 11'0""E"
Murrayville,"35° 13'0""S","141° 10'0""E"
Murringo,"34° 22'0""S","148° 33'0""E"
Murrurundi,"31° 50'15""S","150° 56'0""E"
Murtoa,"36° 37'30""S","142° 32'30""E"
Murwillumbah,"28° 20'30""S","153° 27'30""E"
Muswellbrook,"32° 15'30""S","150° 57'0""E"
Mutarnee,"18° 59'0""S","146° 4'0""E"
Mutchilba,"17° 6'0""S","145° 17'0""E"
Muttaburra,"23° 40'0""S","143° 6'0""E"
Myalup,"33° 6'30""S","115° 43'30""E"
Myamley,"32° 16'0""S","147° 8'30""E"
Mypolonga,"35° 2'0""S","139° 20'30""E"
Myrtleford,"36° 34'0""S","146° 48'0""E"
Nabawa,"28° 30'30""S","114° 48'30""E"
Nagambie,"36° 47'0""S","145° 8'0""E"
Nalyerlup,"34° 8'30""S","118° 28'30""E"
Nambour,"26° 40'30""S","152° 59'30""E"
Nanango,"26° 37'0""S","152° 1'30""E"
Nandaly,"35° 18'0""S","142° 40'0""E"
Nangetty,"29° 4'0""S","115° 19'0""E"
Nangiloc,"34° 32'30""S","142° 20'30""E"
Nangus,"35° 4'30""S","147° 55'0""E"
Nannup,"33° 58'0""S","115° 43'30""E"
Nantawarra,"34° 2'30""S","138° 17'0""E"
Naracoorte,"36° 55'30""S","140° 47'0""E"
Naradhan,"33° 33'30""S","146° 19'0""E"
Narembeen,"31° 59'0""S","118° 28'0""E"
Narembeen East,"32° 10'30""S","118° 32'0""E"
Nariel,"36° 14'40""S","147° 58'0""E"
Narooma,"36° 14'0""S","150° 0'30""E"
Narrabri,"30° 18'0""S","149° 47'0""E"
Narraburra,"34° 19'30""S","147° 43'30""E"
Narrakine,"32° 49'30""S","116° 45'30""E"
Narran (Ext),"29° 59'0""S","146° 44'0""E"
Narrandera,"34° 44'30""S","146° 26'30""E"
Narrogin,"32° 57'30""S","117° 11'0""E"
Narromine,"32° 14'0""S","148° 13'30""E"
Narrung,"35° 33'0""S","139° 7'0""E"
Nathalia,"36° 6'30""S","145° 14'0""E"
Nathan Gorge (Ext),"25° 10'0""S","150° 10'0""E"
Natimuk,"36° 45'30""S","141° 51'30""E"
Natya,"34° 53'0""S","143° 11'30""E"
Navarre,"36° 56'0""S","143° 2'30""E"
Nebo,"21° 26'0""S","148° 35'0""E"
Neerim South,"38° 1'0""S","145° 56'30""E"
Neilrex,"31° 51'0""S","149° 24'30""E"
Nelshaby,"33° 2'0""S","138° 5'30""E"
Nelson Bay,"32° 43'30""S","151° 59'0""E"
Neridup,"33° 42'0""S","122° 7'0""E"
Nerriga,"35° 13'30""S","149° 58'30""E"
Neville,"33° 43'30""S","149° 18'0""E"
New Norfolk,"42° 48'30""S","147° 2'30""E"
New Well,"34° 22'30""S","139° 51'0""E"
Newcastle,"32° 54'0""S","151° 42'0""E"
Newdegate,"33° 1'0""S","118° 50'45""E"
Newdegate East,"33° 4'30""S","119° 13'0""E"
Newdegate North,"32° 54'40""S","119° 3'30""E"
Newman,"23° 8'20""S","119° 35'0""E"
Newstead,"37° 10'0""S","144° 1'0""E"
Nhill,"36° 21'30""S","141° 40'30""E"
Nhulunbuy,"12° 20'30""S","136° 47'0""E"
Nimbin,"28° 36'30""S","153° 15'30""E"
Nimmitabel,"36° 27'0""S","149° 19'0""E"
Nirranda,"38° 27'30""S","142° 45'0""E"
Nobby,"27° 53'0""S","151° 49'30""E"
Nogoa,"23°26'25""S ","148°22'28""E"
Nomans Lake,"32° 55'40""S","117° 28'0""E"
Noonamah,"12° 38'30""S","131° 1'0""E"
Noosaville,"26° 27'45""S","153° 2'30""E"
Normanton,"17° 41'0""S","141° 4'0""E"
Norseman,"32° 7'30""S","121° 49'0""E"
North Star,"28° 53'0""S","150° 20'30""E"
Northam,"31° 38'0""S","116° 43'0""E"
Northampton,"28° 21'30""S","114° 36'0""E"
Northern Gully,"28° 42'0""S","114° 54'0""E"
Nowa Nowa,"37° 40'0""S","148° 4'30""E"
Nowendoc,"31° 25'30""S","151° 39'0""E"
Nowra,"34° 55'30""S","150° 39'0""E"
Nubeena,"43° 6'0""S","147° 50'0""E"
Nullamanna,"29° 43'30""S","151° 19'45""E"
Nullarbor (Ext),"31° 0'0""S","125° 20'0""E"
Nullawil,"35° 55'30""S","143° 19'0""E"
Numeralla,"36° 11'30""S","149° 26'30""E"
Numurkah,"36° 5'30""S","145° 25'0""E"
Nundle,"31° 22'0""S","151° 8'0""E"
Nungarin,"31° 11'0""S","118° 5'30""E"
Nunjikompita,"32° 16'16""S","134° 20'10""E"
Nyabing,"33° 32'0""S","118° 5'30""E"
Nyah,"35° 6'30""S","143° 15'0""E"
Nyamup,"34° 23'0""S","116° 16'0""E"
Nyngan,"31° 36'0""S","147° 9'30""E"
Oakey,"27° 29'0""S","151° 42'0""E"
Oakey Creek,"29° 45'0""S","150° 36'0""E"
Oaklands,"35° 37'0""S","146° 15'0""E"
Oatlands,"42° 20'30""S","147° 19'0""E"
Oban,"30° 9'0""S","151° 54'0""E"
Oberon,"33° 40'0""S","149° 49'0""E"
Ogunbil,"31° 18'0""S","151° 19'30""E"
Omanama,"28° 24'30""S","151° 19'30""E"
Omeo,"37° 1'0""S","147° 35'0""E"
Ongerup North,"33° 46'30""S","118° 20'30""E"
Onslow,"21° 38'30""S","115° 6'30""E"
Ooma,"33° 39'0""S","148° 9'0""E"
Oombabeer,"24° 32'30""S","149° 36'0""E"
Orange,"33° 18'0""S","149° 7'30""E"
Orbost,"37° 43'0""S","148° 24'30""E"
Ord (Ext),"17° 45'30""S","127° 55'45""E"
Orford,"42° 36'0""S","147° 43'0""E"
Orion,"24° 18'0""S","148° 3'0""E"
Ormeau,"27° 47'50""S","153° 15'0""E"
Orroroo,"32° 51'5""S","138° 32'40""E"
Ournie,"35° 55'20""S","147° 53'0""E"
Ouse,"42° 30'0""S","146° 42'0""E"
Ouyen,"35° 3'30""S","142° 18'30""E"
Ozenkadnook,"36° 53'0""S","141° 20'0""E"
Pacific Palms,"32° 17'30""S","152° 27'0""E"
Paddys River,"34° 33'0""S","150° 5'30""E"
Padthaway,"36° 41'30""S","140° 33'0""E"
Pakenham,"38° 2'30""S","145° 30'30""E"
Palinyewah,"33° 55'0""S","142° 1'0""E"
Pallamallawa,"29° 26'0""S","150° 9'30""E"
Palm Island,"18° 44'30""S","146° 34'30""E"
Pan Ban,"34° 8'30""S","142° 22'30""E"
Panmure,"38° 15'5""S","142° 39'15""E"
Pannawonica,"21° 35'30""S","116° 16'0""E"
Pantapin,"31° 58'30""S","117° 38'30""E"
Paraburdoo,"23° 3'30""S","117° 32'0""E"
Parkes,"33° 9'0""S","148° 9'30""E"
Parndana,"35° 49'30""S","137° 20'0""E"
Paroo (Ext),"28° 18'0""S","143° 50'0""E"
Parramatta,"33° 52'0""S","151° 12'0""E"
Paruna,"34° 38'30""S","140° 40'0""E"
Paskeville,"34° 6'30""S","137° 54'30""E"
Patchewollock,"35° 29'30""S","142° 15'30""E"
Paynes Find (Ext),"29° 47'30""S","117° 8'40""E"
Peak Hill,"32° 43'30""S","148° 15'30""E"
Peake,"35° 17'30""S","139° 53'0""E"
Peebinga,"34° 59'30""S","140° 50'0""E"
Pegunny,"24° 39'0""S","149° 43'0""E"
Pemberton,"34° 30'30""S","116° 6'0""E"
Peninsula (Ext),"14° 16'0""S","142° 59'0""E"
Penneshaw,"35° 49'30""S","137° 48'0""E"
Penola,"37° 27'0""S","140° 50'0""E"
Penong,"31° 29'0""S","131° 57'0""E"
Penrith,"33° 45'0""S","150° 41'0""E"
Penshurst,"37° 55'30""S","142° 18'30""E"
Pentland,"20° 43'0""S","145° 57'0""E"
Perenjori,"29° 27'0""S","116° 15'15""E"
Perenjori East,"29° 27'0""S","116° 31'0""E"
Perillup,"34° 33'0""S","117° 19'30""E"
Perponda,"34° 55'0""S","139° 51'0""E"
Perth,"31° 57'30""S","115° 51'0""E"
Peterborough,"32° 57'30""S","138° 44'30""E"
Petermann (Ext),"25° 28'0""S","129° 34'0""E"
Pialba,"25° 21'30""S","152° 49'0""E"
Picola,"36° 2'30""S","145° 6'0""E"
Picton,"34° 13'30""S","150° 34'0""E"
Pikedale,"28° 33'0""S","151° 37'0""E"
Pilliga,"30° 22'30""S","148° 54'20""E"
Pimpara (Ext),"30° 11'0""S","141° 50'0""E"
Pindar South,"28° 34'0""S","115° 45'0""E"
Pine Creek,"14° 31'0""S","133° 58'0""E"
Pine Point,"34° 33'0""S","137° 50'30""E"
Pine Ridge,"31° 30'30""S","150° 20'0""E"
Pingaring,"32° 46'0""S","118° 39'0""E"
Pingelly,"32° 36'0""S","117° 4'0""E"
Pingelly East,"32° 35'30""S","117° 23'0""E"
Pingrup,"33° 26'45""S","118° 30'20""E"
Pingrup East,"33° 33'0""S","118° 43'30""E"
Pinjarra,"32° 35'30""S","115° 57'0""E"
Pinkett,"29° 57'0""S","152° 1'0""E"
Pinnaroo,"35° 15'43""S","140° 54'24""E"
Pittsworth,"27° 42'0""S","151° 39'0""E"
Plenty (Ext),"22° 25'0""S","134° 20'0""E"
Plumthorpe,"30° 25'40""S","150° 25'0""E"
Point Cook,"37° 49'0""S","144° 57'0""E"
Policemans Point,"36° 10'30""S","139° 42'15""E"
Polkemmet,"36° 38'0""S","141° 51'0""E"
Pomborneit,"38° 9'0""S","143° 19'0""E"
Pomona,"26° 19'30""S","152° 52'30""E"
Poochera,"32° 44'0""S","134° 54'0""E"
Poolaijelo,"37° 12'0""S","141° 10'30""E"
Pooncarie,"34° 8'30""S","142° 22'30""E"
Poowong,"38° 21'0""S","145° 48'0""E"
Porongurup,"34° 43'0""S","117° 49'30""E"
Port Augusta,"32° 31'30""S","137° 51'0""E"
Port Broughton,"33° 39'0""S","137° 59'30""E"
Port Fairy,"38° 17'30""S","142° 8'0""E"
Port Hedland,"20° 22'30""S","118° 32'0""E"
Port Kenny,"33°8'30""S ","134°40'30""E"
Port Lincoln,"34° 41'30""S","135° 46'0""E"
Port Macdonnell,"37° 59'0""S","140° 49'30""E"
Port Macquarie,"31° 30'10""S","152° 46'0""E"
Port Neill,"34° 10'30""S","136° 14'0""E"
Port Pirie,"33° 13'0""S","138° 3'30""E"
Port Victoria,"34° 32'30""S","137° 38'0""E"
Port Wakefield,"34° 14'30""S","138° 13'0""E"
Portland (NSW),"33° 13'0""S","150° 1'0""E"
Portland (VIC),"38° 15'30""S","141° 31'0""E"
Prairie,"20° 25'0""S","144° 28'0""E"
Proserpine,"20° 23'0""S","148° 31'30""E"
Proston,"26° 7'0""S","151° 39'10""E"
Puckapunyal,"37° 1'30""S","145° 0'30""E"
Pumphreys,"32° 38'0""S","116° 49'0""E"
Purlewaugh,"31° 18'40""S","149° 37'0""E"
Putty,"32° 55'25""S","150° 42'20""E"
Pyalong,"37° 11'0""S","144° 53'55""E"
Pyengana,"41° 17'25""S","148° 4'20""E"
Pyramid Hill,"36° 0'0""S","144° 5'0""E"
Quairading,"31° 59'45""S","117° 28'0""E"
Quambatook,"35° 48'25""S","143° 44'0""E"
Quambone,"30° 51'0""S","147° 57'30""E"
Quandialla,"33° 58'0""S","147° 50'30""E"
Queenscliff,"38° 13'0""S","144° 34'0""E"
Queenstown,"42° 0'30""S","145° 28'0""E"
Quilpie,"26° 32'0""S","144° 12'0""E"
Quindanning,"32° 59'30""S","116° 40'0""E"
Quirindi,"31° 28'30""S","150° 42'0""E"
Quorn,"32° 22'30""S","138° 3'0""E"
Rainbow,"35° 56'30""S","142° 6'0""E"
Rand,"35° 41'30""S","146° 42'30""E"
Ranken River (Ext),"18° 28'0""S","136° 59'0""E"
Rankins Springs,"33° 52'30""S","146° 15'0""E"
Rannock,"34° 38'30""S","147° 10'30""E"
Rappville,"29° 6'0""S","152° 56'0""E"
Rathdowney,"28° 10'30""S","152° 53'0""E"
Ravensbourne,"27° 21'0""S","152° 7'0""E"
Ravenshoe,"17° 34'0""S","145° 29'0""E"
Ravensthorpe,"33° 39'0""S","120° 8'0""E"
Ravensthorpe West,"33° 31'0""S","119° 46'0""E"
Ravenswood,"20° 38'0""S","146° 48'0""E"
Ravensworth,"32° 23'30""S","151° 2'30""E"
Rawdon Vale,"32° 1'30""S","151° 47'5""E"
Raymond Terrace,"32° 43'30""S","151° 45'30""E"
Raywood,"36° 34'30""S","144° 12'0""E"
Red Hill,"38° 22'30""S","145° 5'0""E"
Redcliffe,"27° 15'30""S","152° 59'30""E"
Redesdale,"37° 3'0""S","144° 34'0""E"
Redhill,"33° 30'30""S","138° 15'0""E"
Redridge,"25° 11'0""S","152° 29'0""E"
Reedy Creek,"37° 5'30""S","140° 3'30""E"
Regans Ford,"30° 52'0""S","115° 45'0""E"
Reids Flat,"34° 5'30""S","148° 55'0""E"
Reidsdale,"35° 33'0""S","149° 54'0""E"
Rendelsham,"37° 28'30""S","140° 4'30""E"
Renmark,"34° 7'0""S","140° 46'30""E"
Rennie,"35° 49'7""S","146° 5'15""E"
Richmond (QLD),"20° 44'0""S","143° 8'30""E"
Richmond (TAS),"42° 41'30""S","147° 27'0""E"
Ringarooma,"41° 16'0""S","147° 45'30""E"
Ringwood,"37° 49'0""S","144° 57'0""E"
Riverton,"34° 7'5""S","138° 50'0""E"
Robe,"37° 7'30""S","139° 52'0""E"
Robertson,"34° 34'0""S","150° 32'0""E"
